"contacts","social","laws","citizenship","workpermit","employment","attitude","country","destination","candidate","c.same","id","gender","age","children","educ","prewar","satisfaction","migmotivation","miglikely","prefchar","prefcountry","incentivised","t_choice"
"No contacts","Free healthcare","Ban on nikab and burka in public","After 8 years","Immediately","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Germany",1,2,0,653,"Female","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",2,1,2,"Education opportunities","Canada","1","62.136"
"Other Syrians","Free healthcare","Ban on nikab and burka in public","After 8 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",0,2,0,655,"Female","18 - 29","No","Less than high school degree","0",2,1,2,"Education opportunities","Canada","1","18.478"
"Other Syrians","No minimum wage","No religious bans","After 5 years","After 3 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","France",0,2,0,657,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",3,NA,NA,"Education opportunities","UK","1","86.282"
"Friends","Free housing","Ban on immigration from Muslim countries","After 3 years","Immediately","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Germany",1,2,0,658,"Female","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",4,4,3,"Education opportunities","USA","1","45.552"
"Family","Free healthcare","No religious bans","After 8 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","United States of America (USA)",1,2,0,660,"Male","18 - 29","No","Some college but no degree","0",6,3,5,"Citizenship and rights","Canada","1","22.291"
"No contacts","Free housing","Ban on nikab and burka in public","After 8 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Germany",1,2,0,661,"Male","18 - 29","No","Some college but no degree","0",5,1,3,"Citizenship and rights","Canada","1","48.666"
"Family","Free housing","Ban on hijab in schools","After 8 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",0,2,1,663,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",5,2,3,"Friends / family / relatives in the country","France","1","6.16"
"Other Syrians","Free healthcare","Ban on immigration from Muslim countries","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","United States of America (USA)",0,2,0,664,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",4,1,2,"Employment / career opportunities","UK","1","15.866"
"Friends","Generous support for refugees","No religious bans","After 8 years","After 12 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",1,2,1,666,"Male","18 - 29","No","Some college but no degree","0",2,1,NA,"Citizenship and rights","Canada","1","95.275"
"Other Syrians","Free housing","Ban on hijab in schools","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Germany",0,2,1,669,"Male","40-49","Yes","Master's degree or higher","0",4,1,NA,"Citizenship and rights","UK","1","10.955"
"Friends","Free healthcare","Ban on nikab and burka in public","After 3 years","After 12 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Germany",1,2,0,671,"Male","18 - 29","No","Less than high school degree","1",7,3,5,"Citizenship and rights","Canada","1","62.51"
"Family","Free healthcare","No religious bans","After 8 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United States of America (USA)",0,2,0,674,"Male","18 - 29","No","Some college but no degree","0",6,2,3,"Citizenship and rights","Other / Prefer not to answer","1","13.251"
"Friends","Free housing","Ban on immigration from Muslim countries","After 8 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","France",1,2,0,679,"Female","40-49","No","Master's degree or higher","0",6,3,5,"Good reputation","Germany","1","6.487"
"No contacts","Generous support for refugees","No religious bans","After 3 years","After 12 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Germany",1,2,0,685,"Female","18 - 29","No","Bachelor's degree (4-year)","0",7,1,6,"Citizenship and rights","Canada","1","40.466"
"Other Syrians","Generous support for refugees","Ban on nikab and burka in public","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",1,2,0,686,"Male","18 - 29","No","Bachelor's degree (4-year)","1",2,1,6,"Asylum policies (e.g. family reunification, resettlement)","UK","1","102.705"
"Other Syrians","Generous support for refugees","Ban on immigration from Muslim countries","After 3 years","After 3 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",1,2,0,688,"Male","30-39","No","Bachelor's degree (4-year)","0",4,1,5,"Employment / career opportunities","UK","1","56.315"
"No contacts","Free healthcare","No religious bans","After 8 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","France",0,2,0,691,"Female","30-39","Yes","Diploma or technical certificate (2-year)","0",2,1,2,"Asylum policies (e.g. family reunification, resettlement)","Canada","1","145.18"
"No contacts","Generous support for refugees","No religious bans","After 3 years","After 3 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Germany",0,2,0,697,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",2,1,3,"Education opportunities","UK","1","43.32"
"No contacts","Free healthcare","Ban on immigration from Muslim countries","After 3 years","After 3 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",0,2,0,698,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",7,1,2,"Education opportunities","Other / Prefer not to answer","1","36.069"
"No contacts","No minimum wage","No religious bans","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",0,2,0,701,"Male","30-39","No","Bachelor's degree (4-year)","1",8,6,3,"Language and culture","UK","1","18.481"
"Other Syrians","Generous support for refugees","No religious bans","After 3 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","France",1,2,1,703,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",2,1,NA,"Citizenship and rights","UK","1","35.011"
"Other Syrians","Free healthcare","No religious bans","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Canada",1,2,0,704,"Male","40-49","Yes","High school graduate (Baccalaureate / Tawjihi)","1",5,3,4,"Education opportunities","Canada","1","2.441"
"Family","Free housing","Ban on hijab in schools","After 3 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",1,2,1,705,"Prefer not to answer","Prefer not to answer","No","Bachelor's degree (4-year)","0",2,1,4,"Citizenship and rights","Canada","1","2.044"
"Friends","No minimum wage","Ban on nikab and burka in public","After 3 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United States of America (USA)",1,2,1,706,"Male","18 - 29","No","Some college but no degree","0",8,3,4,"Employment / career opportunities","USA","1","196.567"
"Other Syrians","Free healthcare","Ban on nikab and burka in public","After 8 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Germany",0,2,0,707,"Male","18 - 29","Yes","Some college but no degree","0",2,1,5,"Citizenship and rights","Canada","1","59.921"
"Family","Generous support for refugees","Ban on immigration from Muslim countries","After 8 years","Immediately","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",1,2,0,712,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",7,1,5,"Education opportunities","Canada","1","40.527"
"Friends","No minimum wage","Ban on nikab and burka in public","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",0,2,0,713,"Female","18 - 29","Yes","High school graduate (Baccalaureate / Tawjihi)","0",5,4,5,"Education opportunities","Canada","1","44.475"
"Other Syrians","Free housing","No religious bans","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",0,2,0,719,"Female","18 - 29","No","Bachelor's degree (4-year)","0",8,4,NA,"Friends / family / relatives in the country","Germany","1","48.592"
"Family","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",0,2,0,720,"Male","18 - 29","No","Less than high school degree","0",4,1,5,"Citizenship and rights","Canada","1","30.007"
"Friends","Generous support for refugees","Ban on hijab in schools","After 8 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Canada",0,2,0,721,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",NA,3,6,"Education opportunities","Canada","1","151.191"
"Friends","No minimum wage","Ban on nikab and burka in public","After 3 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",1,2,0,723,"Male","18 - 29","No","Less than high school degree","0",7,1,3,"Education opportunities","Canada","1","20.377"
"Family","Free housing","Ban on immigration from Muslim countries","After 8 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","France",0,2,0,724,"Female","18 - 29","No","Bachelor's degree (4-year)","0",6,3,5,"Education opportunities","Canada","1","4.882"
